source_id,material_label,family,composition_json,E_Pa,rho_kg_m3,alpha_1_K,a_m2_s,sigma_y_Pa,cost_vol,cost_currency,Tg_K,m_fragility,provenance_json
SG-215-20156,SG-215-20156,germanate,"{""GeO2_mol_frac"": 0.6761325073242187, ""Na2O_mol_frac"": 0.0953346824645995, ""SiO2_mol_frac"": 0.0953346824645995}",72199996948.24219,3858.000040054321,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 14, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20157,SG-215-20157,germanate,"{""GeO2_mol_frac"": 0.6535948181152343, ""Na2O_mol_frac"": 0.092156867980957, ""SiO2_mol_frac"": 0.092156867980957}",75000000000.0,3904.0000438690186,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 15, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20142,SG-216-20142,germanate,"{""GeO2_mol_frac"": 0.7633587646484375, ""Na2O_mol_frac"": 0.107633581161499, ""PbO_mol_frac"": 0.0213740444183349, ""RO_mol_frac"": 0.0213740444183349, ""SiO2_mol_frac"": 0.107633581161499}",70699996948.24219,3964.999914169312,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 16, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20143,SG-216-20143,germanate,"{""GeO2_mol_frac"": 0.7541477966308594, ""Na2O_mol_frac"": 0.1063348388671875, ""PbO_mol_frac"": 0.0331825017929077, ""RO_mol_frac"": 0.0331825017929077, ""SiO2_mol_frac"": 0.1063348388671875}",69900001525.8789,4027.999877929688,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 17, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20144,SG-216-20144,germanate,"{""GeO2_mol_frac"": 0.7462686157226562, ""Na2O_mol_frac"": 0.1052238845825195, ""PbO_mol_frac"": 0.0432835817337036, ""RO_mol_frac"": 0.0432835817337036, ""SiO2_mol_frac"": 0.1052238845825195}",69500000000.0,4091.0000801086426,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 18, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20145,SG-216-20145,germanate,"{""GeO2_mol_frac"": 0.7418398284912109, ""Na2O_mol_frac"": 0.1045994186401367, ""PbO_mol_frac"": 0.0489614248275756, ""RO_mol_frac"": 0.0489614248275756, ""SiO2_mol_frac"": 0.1045994186401367}",69099998474.1211,4117.000102996826,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 19, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20147,SG-216-20147,germanate,"{""GeO2_mol_frac"": 0.705716323852539, ""Na2O_mol_frac"": 0.0995060062408447, ""PbO_mol_frac"": 0.0952717113494873, ""RO_mol_frac"": 0.0952717113494873, ""SiO2_mol_frac"": 0.0995060062408447}",66900001525.87891,4372.000217437744,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 20, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20095,SG-215-20095,germanate,"{""GeO2_mol_frac"": 0.7662835693359376, ""Na2O_mol_frac"": 0.1080459785461425, ""SiO2_mol_frac"": 0.1080459785461425}",67400001525.87891,3828.000068664551,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 21, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20097,SG-215-20097,germanate,"{""GeO2_mol_frac"": 0.7524454498291016, ""Na2O_mol_frac"": 0.1060948085784912, ""SiO2_mol_frac"": 0.1060948085784912}",65099998474.12109,3798.00009727478,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 22, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20099,SG-215-20099,germanate,"{""GeO2_mol_frac"": 0.7183908081054687, ""Na2O_mol_frac"": 0.1012931060791015, ""SiO2_mol_frac"": 0.1012931060791015}",56799999237.06055,3700.000047683716,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 23, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20148,SG-216-20148,germanate,"{""GeO2_mol_frac"": 0.7037297058105468, ""Na2O_mol_frac"": 0.0992258930206298, ""PbO_mol_frac"": 0.0978184223175048, ""RO_mol_frac"": 0.0978184223175048, ""SiO2_mol_frac"": 0.0992258930206298}",66500000000.0,4385.000228881836,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 24, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20149,SG-216-20149,germanate,"{""GeO2_mol_frac"": 0.6706907653808594, ""Na2O_mol_frac"": 0.0945674037933349, ""PbO_mol_frac"": 0.1401743793487548, ""RO_mol_frac"": 0.1401743793487548, ""SiO2_mol_frac"": 0.0945674037933349}",65500000000.0,4605.999946594238,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 25, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20150,SG-216-20150,germanate,"{""GeO2_mol_frac"": 0.6605019378662109, ""Na2O_mol_frac"": 0.0931307792663574, ""PbO_mol_frac"": 0.1532364463806152, ""RO_mol_frac"": 0.1532364463806152, ""SiO2_mol_frac"": 0.0931307792663574}",63500000000.0,4676.000118255615,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 26, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20137,SG-216-20137,germanate,"{""GeO2_mol_frac"": 0.7621950531005859, ""Na2O_mol_frac"": 0.1074695014953613, ""SiO2_mol_frac"": 0.1074695014953613}",70300003051.75781,3898.0000019073486,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 27, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20139,SG-216-20139,germanate,"{""GeO2_mol_frac"": 0.7225434112548829, ""Na2O_mol_frac"": 0.1018786239624023, ""SiO2_mol_frac"": 0.1018786239624023}",67900001525.87891,3950.000047683716,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 28, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20140,SG-216-20140,germanate,"{""GeO2_mol_frac"": 0.70126220703125, ""Na2O_mol_frac"": 0.0988779830932617, ""SiO2_mol_frac"": 0.0988779830932617}",66900001525.87891,3999.000072479248,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 29, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20185,SG-216-20185,germanate,"{""GeO2_mol_frac"": 0.7716049194335938, ""Na2O_mol_frac"": 0.1087963008880615, ""SiO2_mol_frac"": 0.1087963008880615}",71099998474.1211,3911.00001335144,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 30, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20188,SG-216-20188,germanate,"{""GeO2_mol_frac"": 0.7490636444091797, ""Na2O_mol_frac"": 0.1056179809570312, ""SiO2_mol_frac"": 0.1056179809570312}",74099998474.1211,4105.999946594238,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 31, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20190,SG-216-20190,germanate,"{""GeO2_mol_frac"": 0.7278020477294922, ""Na2O_mol_frac"": 0.102620096206665, ""SiO2_mol_frac"": 0.102620096206665}",75599998474.1211,4239.999771118164,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 32, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20191,SG-216-20191,germanate,"{""GeO2_mol_frac"": 0.7142857360839844, ""Na2O_mol_frac"": 0.1007142925262451, ""SiO2_mol_frac"": 0.1007142925262451}",76199996948.24219,4326.000213623047,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 33, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20192,SG-216-20192,germanate,"{""GeO2_mol_frac"": 0.6988120269775391, ""Na2O_mol_frac"": 0.0985324954986572, ""SiO2_mol_frac"": 0.0985324954986572}",76699996948.24219,4412.000179290772,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 34, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20193,SG-216-20193,germanate,"{""GeO2_mol_frac"": 0.6825938415527344, ""Na2O_mol_frac"": 0.0962457370758056, ""SiO2_mol_frac"": 0.0962457370758056}",77900001525.8789,4513.000011444092,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 35, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20195,SG-216-20195,germanate,"{""GeO2_mol_frac"": 0.6418485260009765, ""Na2O_mol_frac"": 0.0905006504058838, ""SiO2_mol_frac"": 0.0905006504058838}",83199996948.24219,4862.99991607666,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 36, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20196,SG-216-20196,germanate,"{""GeO2_mol_frac"": 0.7722007751464843, ""Na2O_mol_frac"": 0.1088803100585937, ""SiO2_mol_frac"": 0.1088803100585937, ""WO3_mol_frac"": 0.0100386106967926}",69900001525.8789,3874.000072479248,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 37, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20197,SG-216-20197,germanate,"{""GeO2_mol_frac"": 0.7633587646484375, ""Na2O_mol_frac"": 0.107633581161499, ""SiO2_mol_frac"": 0.107633581161499, ""WO3_mol_frac"": 0.0213740444183349}",68699996948.24219,3915.9998893737793,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 38, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20198,SG-216-20198,germanate,"{""GeO2_mol_frac"": 0.755287094116211, ""Na2O_mol_frac"": 0.1064954757690429, ""SiO2_mol_frac"": 0.1064954757690429, ""WO3_mol_frac"": 0.0317220568656921}",67599998474.12109,3904.0000438690186,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 39, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20199,SG-216-20199,germanate,"{""GeO2_mol_frac"": 0.7457121276855468, ""Na2O_mol_frac"": 0.1051454067230224, ""SiO2_mol_frac"": 0.1051454067230224, ""WO3_mol_frac"": 0.0439970159530639}",66500000000.0,3897.0000743865967,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 40, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20200,SG-216-20200,germanate,"{""GeO2_mol_frac"": 0.7369196319580078, ""Na2O_mol_frac"": 0.103905668258667, ""SiO2_mol_frac"": 0.103905668258667, ""WO3_mol_frac"": 0.0552689743041992}",65599998474.12109,3888.000011444092,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 41, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20201,SG-216-20201,germanate,"{""GeO2_mol_frac"": 0.7278020477294922, ""Na2O_mol_frac"": 0.102620096206665, ""SiO2_mol_frac"": 0.102620096206665, ""WO3_mol_frac"": 0.0669577884674072}",65400001525.87891,3877.000093460083,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 42, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-216-20202,SG-216-20202,germanate,"{""GeO2_mol_frac"": 0.7082152557373047, ""Na2O_mol_frac"": 0.099858341217041, ""SiO2_mol_frac"": 0.099858341217041, ""WO3_mol_frac"": 0.0920679855346679}",63200000762.93945,3832.0000171661377,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 43, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20117,SG-217-20117,germanate,"{""GeO2_mol_frac"": 0.8189987182617188, ""Na2O_mol_frac"": 0.0905006408691406, ""SiO2_mol_frac"": 0.0905006408691406}",66800003051.75781,3809.999942779541,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 44, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20118,SG-217-20118,germanate,"{""GeO2_mol_frac"": 0.82560302734375, ""Na2O_mol_frac"": 0.0871985244750976, ""SiO2_mol_frac"": 0.0871985244750976}",65800003051.75781,3811.000108718872,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 45, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20119,SG-217-20119,germanate,"{""GeO2_mol_frac"": 0.8322427368164063, ""Na2O_mol_frac"": 0.0838786506652832, ""SiO2_mol_frac"": 0.0838786506652832}",64699996948.24219,3813.999891281128,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 46, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20120,SG-217-20120,germanate,"{""GeO2_mol_frac"": 0.8374639892578125, ""Na2O_mol_frac"": 0.08126802444458, ""SiO2_mol_frac"": 0.08126802444458}",63799999237.06055,3809.000015258789,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 47, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20121,SG-217-20121,germanate,"{""GeO2_mol_frac"": 0.8432463073730468, ""Na2O_mol_frac"": 0.0783768796920776, ""SiO2_mol_frac"": 0.0783768796920776}",62500000000.0,3799.999952316284,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 48, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20113,SG-217-20113,germanate,"{""GeO2_mol_frac"": 0.78684814453125, ""Na2O_mol_frac"": 0.1065759658813476, ""SiO2_mol_frac"": 0.1065759658813476}",70500000000.0,3801.0001182556152,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 49, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20114,SG-217-20114,germanate,"{""GeO2_mol_frac"": 0.7953555297851562, ""Na2O_mol_frac"": 0.1023222064971923, ""SiO2_mol_frac"": 0.1023222064971923}",69500000000.0,3802.999973297119,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 50, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20115,SG-217-20115,germanate,"{""GeO2_mol_frac"": 0.8043025207519531, ""Na2O_mol_frac"": 0.0978487110137939, ""SiO2_mol_frac"": 0.0978487110137939}",68699996948.24219,3803.999900817871,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 51, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20116,SG-217-20116,germanate,"{""GeO2_mol_frac"": 0.8114973449707031, ""Na2O_mol_frac"": 0.0942513465881347, ""SiO2_mol_frac"": 0.0942513465881347}",67599998474.12109,3806.999921798706,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 52, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20122,SG-217-20122,germanate,"{""GeO2_mol_frac"": 0.848223876953125, ""Na2O_mol_frac"": 0.0758880519866943, ""SiO2_mol_frac"": 0.0758880519866943}",61400001525.87891,3796.999931335449,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 53, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20123,SG-217-20123,germanate,"{""GeO2_mol_frac"": 0.853125, ""Na2O_mol_frac"": 0.0734375, ""SiO2_mol_frac"": 0.0734375}",60000000000.0,3789.0000343322754,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 54, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20124,SG-217-20124,germanate,"{""GeO2_mol_frac"": 0.8569979858398438, ""Na2O_mol_frac"": 0.0715010166168212, ""SiO2_mol_frac"": 0.0715010166168212}",59900001525.87891,3786.999940872192,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 55, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20125,SG-217-20125,germanate,"{""GeO2_mol_frac"": 0.8621701049804688, ""Na2O_mol_frac"": 0.0689149570465088, ""SiO2_mol_frac"": 0.0689149570465088}",58200000762.93945,3775.000095367432,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 56, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20126,SG-217-20126,germanate,"{""GeO2_mol_frac"": 0.8664140319824218, ""Na2O_mol_frac"": 0.0667929887771606, ""SiO2_mol_frac"": 0.0667929887771606}",57400001525.87891,3767.999887466431,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 57, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20163,SG-217-20163,germanate,"{""GeO2_mol_frac"": 0.6635700225830078, ""Na2O_mol_frac"": 0.0935633754730224, ""SiO2_mol_frac"": 0.0935633754730224}",53599998474.121086,4098.999977111816,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 58, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20164,SG-217-20164,germanate,"{""GeO2_mol_frac"": 0.6410256195068359, ""Na2O_mol_frac"": 0.0903846168518066, ""SiO2_mol_frac"": 0.0903846168518066}",51000000000.0,4151.9999504089365,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 59, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20165,SG-217-20165,germanate,"{""GeO2_mol_frac"": 0.6157635116577149, ""Na2O_mol_frac"": 0.0868226623535156, ""SiO2_mol_frac"": 0.0868226623535156}",49700000762.93945,4179.999828338623,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 60, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20166,SG-217-20166,germanate,"{""GeO2_mol_frac"": 0.5580356979370117, ""Na2O_mol_frac"": 0.0786830329895019, ""SiO2_mol_frac"": 0.0786830329895019}",45299999237.06055,4340.000152587891,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 61, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20167,SG-217-20167,germanate,"{""GeO2_mol_frac"": 0.524109001159668, ""Na2O_mol_frac"": 0.0738993740081787, ""SiO2_mol_frac"": 0.0738993740081787}",42900001525.87891,4418.000221252441,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 62, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20168,SG-217-20168,germanate,"{""GeO2_mol_frac"": 0.486144905090332, ""Na2O_mol_frac"": 0.0685464286804199, ""SiO2_mol_frac"": 0.0685464286804199}",41099998474.121086,4500.0,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 63, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20169,SG-217-20169,germanate,"{""GeO2_mol_frac"": 0.4432624053955078, ""Na2O_mol_frac"": 0.0625, ""SiO2_mol_frac"": 0.0625}",39000000000.0,4583.000183105469,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 64, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20170,SG-217-20170,germanate,"{""GeO2_mol_frac"": 0.3946329879760742, ""Na2O_mol_frac"": 0.055643253326416, ""SiO2_mol_frac"": 0.055643253326416}",36500000000.0,4668.000221252441,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 65, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20171,SG-217-20171,germanate,"{""GeO2_mol_frac"": 0.3380662536621093, ""Na2O_mol_frac"": 0.0476673412322998, ""SiO2_mol_frac"": 0.0476673412322998}",35000000000.0,4750.0,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 66, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20172,SG-217-20172,other,"{""GeO2_mol_frac"": 0.2741228103637695, ""Na2O_mol_frac"": 0.038651316165924, ""SiO2_mol_frac"": 0.038651316165924}",32900001525.878906,4822.999954223633,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 67, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20173,SG-217-20173,germanate,"{""Bi2O3_mol_frac"": 0.0054305660724639, ""GeO2_mol_frac"": 0.7757951354980469, ""Na2O_mol_frac"": 0.1093871212005615, ""SiO2_mol_frac"": 0.1093871212005615}",68300003051.75781,3819.999933242798,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 68, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-217-20174,SG-217-20174,germanate,"{""Bi2O3_mol_frac"": 0.01080246925354, ""GeO2_mol_frac"": 0.7716049194335938, ""Na2O_mol_frac"": 0.1087963008880615, ""SiO2_mol_frac"": 0.1087963008880615}",68000000000.0,3868.000030517578,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 69, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
